name,seed,normative_agent_opinion,main_agent_opinion,main_agent_self_trust,homophily_normative_tradeoff,technology_success_rate
0_0_0_0_0_0,383329927,-0.5,-0.5,-0.5,0.0,0.0
0_0_0_0_0_1,383329927,-0.5,-0.5,-0.5,0.0,0.5
0_0_0_0_0_2,383329927,-0.5,-0.5,-0.5,0.0,1.0
0_0_0_0_1_0,383329927,-0.5,-0.5,-0.5,0.5,0.0
0_0_0_0_1_1,383329927,-0.5,-0.5,-0.5,0.5,0.5
0_0_0_0_1_2,383329927,-0.5,-0.5,-0.5,0.5,1.0
0_0_0_0_2_0,383329927,-0.5,-0.5,-0.5,1.0,0.0
0_0_0_0_2_1,383329927,-0.5,-0.5,-0.5,1.0,0.5
0_0_0_0_2_2,383329927,-0.5,-0.5,-0.5,1.0,1.0
0_0_0_1_0_0,383329927,-0.5,-0.5,0.5,0.0,0.0
0_0_0_1_0_1,383329927,-0.5,-0.5,0.5,0.0,0.5
0_0_0_1_0_2,383329927,-0.5,-0.5,0.5,0.0,1.0
0_0_0_1_1_0,383329927,-0.5,-0.5,0.5,0.5,0.0
0_0_0_1_1_1,383329927,-0.5,-0.5,0.5,0.5,0.5
0_0_0_1_1_2,383329927,-0.5,-0.5,0.5,0.5,1.0
0_0_0_1_2_0,383329927,-0.5,-0.5,0.5,1.0,0.0
0_0_0_1_2_1,383329927,-0.5,-0.5,0.5,1.0,0.5
0_0_0_1_2_2,383329927,-0.5,-0.5,0.5,1.0,1.0
0_0_1_0_0_0,383329927,-0.5,0.5,-0.5,0.0,0.0
0_0_1_0_0_1,383329927,-0.5,0.5,-0.5,0.0,0.5
0_0_1_0_0_2,383329927,-0.5,0.5,-0.5,0.0,1.0
0_0_1_0_1_0,383329927,-0.5,0.5,-0.5,0.5,0.0
0_0_1_0_1_1,383329927,-0.5,0.5,-0.5,0.5,0.5
0_0_1_0_1_2,383329927,-0.5,0.5,-0.5,0.5,1.0
0_0_1_0_2_0,383329927,-0.5,0.5,-0.5,1.0,0.0
0_0_1_0_2_1,383329927,-0.5,0.5,-0.5,1.0,0.5
0_0_1_0_2_2,383329927,-0.5,0.5,-0.5,1.0,1.0
0_0_1_1_0_0,383329927,-0.5,0.5,0.5,0.0,0.0
0_0_1_1_0_1,383329927,-0.5,0.5,0.5,0.0,0.5
0_0_1_1_0_2,383329927,-0.5,0.5,0.5,0.0,1.0
0_0_1_1_1_0,383329927,-0.5,0.5,0.5,0.5,0.0
0_0_1_1_1_1,383329927,-0.5,0.5,0.5,0.5,0.5
0_0_1_1_1_2,383329927,-0.5,0.5,0.5,0.5,1.0
0_0_1_1_2_0,383329927,-0.5,0.5,0.5,1.0,0.0
0_0_1_1_2_1,383329927,-0.5,0.5,0.5,1.0,0.5
0_0_1_1_2_2,383329927,-0.5,0.5,0.5,1.0,1.0
0_1_0_0_0_0,383329927,0.5,-0.5,-0.5,0.0,0.0
0_1_0_0_0_1,383329927,0.5,-0.5,-0.5,0.0,0.5
0_1_0_0_0_2,383329927,0.5,-0.5,-0.5,0.0,1.0
0_1_0_0_1_0,383329927,0.5,-0.5,-0.5,0.5,0.0
0_1_0_0_1_1,383329927,0.5,-0.5,-0.5,0.5,0.5
0_1_0_0_1_2,383329927,0.5,-0.5,-0.5,0.5,1.0
0_1_0_0_2_0,383329927,0.5,-0.5,-0.5,1.0,0.0
0_1_0_0_2_1,383329927,0.5,-0.5,-0.5,1.0,0.5
0_1_0_0_2_2,383329927,0.5,-0.5,-0.5,1.0,1.0
0_1_0_1_0_0,383329927,0.5,-0.5,0.5,0.0,0.0
0_1_0_1_0_1,383329927,0.5,-0.5,0.5,0.0,0.5
0_1_0_1_0_2,383329927,0.5,-0.5,0.5,0.0,1.0
0_1_0_1_1_0,383329927,0.5,-0.5,0.5,0.5,0.0
0_1_0_1_1_1,383329927,0.5,-0.5,0.5,0.5,0.5
0_1_0_1_1_2,383329927,0.5,-0.5,0.5,0.5,1.0
0_1_0_1_2_0,383329927,0.5,-0.5,0.5,1.0,0.0
0_1_0_1_2_1,383329927,0.5,-0.5,0.5,1.0,0.5
0_1_0_1_2_2,383329927,0.5,-0.5,0.5,1.0,1.0
0_1_1_0_0_0,383329927,0.5,0.5,-0.5,0.0,0.0
0_1_1_0_0_1,383329927,0.5,0.5,-0.5,0.0,0.5
0_1_1_0_0_2,383329927,0.5,0.5,-0.5,0.0,1.0
0_1_1_0_1_0,383329927,0.5,0.5,-0.5,0.5,0.0
0_1_1_0_1_1,383329927,0.5,0.5,-0.5,0.5,0.5
0_1_1_0_1_2,383329927,0.5,0.5,-0.5,0.5,1.0
0_1_1_0_2_0,383329927,0.5,0.5,-0.5,1.0,0.0
0_1_1_0_2_1,383329927,0.5,0.5,-0.5,1.0,0.5
0_1_1_0_2_2,383329927,0.5,0.5,-0.5,1.0,1.0
0_1_1_1_0_0,383329927,0.5,0.5,0.5,0.0,0.0
0_1_1_1_0_1,383329927,0.5,0.5,0.5,0.0,0.5
0_1_1_1_0_2,383329927,0.5,0.5,0.5,0.0,1.0
0_1_1_1_1_0,383329927,0.5,0.5,0.5,0.5,0.0
0_1_1_1_1_1,383329927,0.5,0.5,0.5,0.5,0.5
0_1_1_1_1_2,383329927,0.5,0.5,0.5,0.5,1.0
0_1_1_1_2_0,383329927,0.5,0.5,0.5,1.0,0.0
0_1_1_1_2_1,383329927,0.5,0.5,0.5,1.0,0.5
0_1_1_1_2_2,383329927,0.5,0.5,0.5,1.0,1.0
